"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","378","398","400","372","89.02M","-5.50%"
"Apr 20, 2020","400","430","430","400","76.77M","-5.66%"
"Apr 17, 2020","424","410","432","408","89.41M","4.43%"
"Apr 16, 2020","406","400","418","400","71.51M","-1.93%"
"Apr 15, 2020","414","408","420","388","77.96M","1.97%"
"Apr 14, 2020","406","396","410","396","58.58M","3.57%"
"Apr 13, 2020","392","406","406","386","34.74M","-2.97%"
"Apr 09, 2020","404","374","406","372","47.55M","6.32%"
"Apr 08, 2020","380","404","404","376","90.42M","-5.94%"
"Apr 07, 2020","404","422","438","388","214.54M","-2.88%"
"Apr 06, 2020","416","350","416","348","110.72M","20.93%"
"Apr 03, 2020","344","334","352","330","46.31M","4.88%"
"Apr 02, 2020","328","304","328","294","34.50M","5.13%"
"Apr 01, 2020","312","308","322","304","56.05M","1.30%"
"Mar 31, 2020","308","322","338","304","80.35M","-1.28%"
"Mar 30, 2020","312","334","334","312","21.22M","-6.59%"
"Mar 27, 2020","334","320","364","320","52.94M","7.74%"
"Mar 26, 2020","310","274","328","272","59.79M","15.67%"
"Mar 24, 2020","268","266","298","266","34.05M","-6.29%"
"Mar 23, 2020","286","288","296","284","45.70M","-5.92%"
"Mar 20, 2020","304","300","314","288","107.05M","-1.30%"
"Mar 19, 2020","308","350","350","308","36.10M","-6.67%"
"Mar 18, 2020","330","360","360","320","50.39M","-4.07%"
"Mar 17, 2020","344","360","360","344","33.87M","-6.52%"
"Mar 16, 2020","368","394","396","368","28.39M","-6.60%"
"Mar 13, 2020","394","412","420","384","72.96M","-4.37%"
"Mar 12, 2020","412","410","436","372","46.77M","-8.44%"
"Mar 11, 2020","450","500","500","450","58.26M","-9.64%"
"Mar 10, 2020","498","498","520","496","27.59M","-0.40%"
"Mar 09, 2020","500","510","525","496","56.92M","-5.66%"
"Mar 06, 2020","530","535","540","530","16.56M","-2.75%"
"Mar 05, 2020","545","565","570","545","29.08M","-2.68%"
"Mar 04, 2020","560","540","570","535","37.88M","2.75%"
"Mar 03, 2020","545","530","555","530","30.44M","3.81%"
"Mar 02, 2020","525","530","550","520","40.92M","-0.94%"
"Feb 28, 2020","530","535","535","520","58.41M","-1.85%"
"Feb 27, 2020","540","550","555","535","33.21M","-1.82%"
"Feb 26, 2020","550","550","565","540","29.19M","-0.90%"
"Feb 25, 2020","555","530","560","530","36.62M","2.78%"
"Feb 24, 2020","540","570","570","540","46.69M","-6.09%"
"Feb 21, 2020","575","580","590","570","27.13M","-0.86%"
"Feb 20, 2020","580","595","600","580","26.50M","-2.52%"
"Feb 19, 2020","595","600","610","590","42.94M","-0.83%"
"Feb 18, 2020","600","575","605","565","83.54M","4.35%"
"Feb 17, 2020","575","560","580","555","60.19M","3.60%"
"Feb 14, 2020","555","540","560","535","40.32M","2.78%"
"Feb 13, 2020","540","535","545","535","13.99M","0.93%"
"Feb 12, 2020","535","540","545","530","30.06M","0.00%"
"Feb 11, 2020","535","530","545","530","15.98M","0.94%"
"Feb 10, 2020","530","530","530","525","20.75M","-0.93%"
"Feb 07, 2020","535","530","545","530","35.07M","0.00%"
"Feb 06, 2020","535","525","540","525","36.07M","1.90%"
"Feb 05, 2020","525","530","530","515","26.54M","0.00%"
"Feb 04, 2020","525","510","525","510","17.40M","2.94%"
"Feb 03, 2020","510","510","525","510","29.33M","-1.92%"
"Jan 31, 2020","520","540","545","510","36.16M","-2.80%"
"Jan 30, 2020","535","545","550","535","19.10M","-1.83%"
"Jan 29, 2020","545","550","560","540","21.09M","-0.91%"
"Jan 28, 2020","550","540","555","535","39.11M","0.92%"
"Jan 27, 2020","545","570","570","540","35.52M","-4.39%"
"Jan 24, 2020","570","575","585","565","18.06M","0.00%"
"Jan 23, 2020","570","560","575","555","26.10M","1.79%"
"Jan 22, 2020","560","575","575","560","24.03M","-2.61%"
"Jan 21, 2020","575","580","585","565","40.09M","-1.71%"
"Jan 20, 2020","585","590","590","580","33.93M","0.00%"
"Jan 17, 2020","585","590","595","580","26.68M","0.00%"
"Jan 16, 2020","585","585","595","580","31.90M","-0.85%"
"Jan 15, 2020","590","595","595","575","42.24M","-0.84%"
"Jan 14, 2020","595","585","600","580","52.55M","1.71%"
"Jan 13, 2020","585","560","590","560","121.59M","4.46%"
"Jan 10, 2020","560","570","575","555","35.75M","-1.75%"
"Jan 09, 2020","570","545","570","540","82.45M","5.56%"
"Jan 08, 2020","540","540","550","535","50.36M","-0.92%"
