Date		Price	Open	High	Low	Vol.	Change %
Nov-17	2021	960	975	990	960	19.49M	-1.03%
Dec-17	2021	855	855	875	850	9.85M	0.00%
Jan-18	2021	795	804	819	790	38.21M	-1.20%
Feb-18	2021	843	824	853	814	74.56M	2.96%
Mar-18	2021	998	998	1,008	993	14.38M	0.00%
May-18	2021	916	891	916	887	8.66M	3.28%
Jun-18	2021	840	860	865	800	63.87M	-2.33%
Aug-18	2021	800	740	810	735	101.44M	8.11%
Oct-18	2021	945	955	960	935	34.78M	-0.53%
Nov-18	2021	955	960	970	955	6.01M	-0.52%
Jan-19	2021	761	804	809	741	89.14M	-4.27%
Feb-19	2021	891	853	901	838	237.82M	5.75%
Mar-19	2021	979	998	998	964	20.57M	-1.94%
Apr-19	2021	911	916	925	906	21.70M	0.00%
May-19	2021	891	906	916	887	4.94M	-2.65%
Jul-19	2021	755	790	790	750	14.93M	-4.43%
Aug-19	2021	760	800	805	745	59.28M	-5.00%
Oct-19	2021	930	945	955	925	40.22M	-1.59%
Nov-19	2021	975	955	980	955	15.44M	2.09%
Jan-20	2021	785	761	785	741	54.96M	3.18%
Apr-20	2021	959	916	974	911	82.01M	5.32%
May-20	2021	877	882	896	867	25.96M	-1.63%
Aug-20	2021	760	755	765	745	15.40M	0.00%
Sep-20	2021	820	845	850	820	22.05M	-2.96%
Dec-20	2021	850	855	860	840	10.52M	-0.58%
Jan-21	2021	775	790	799	765	36.52M	-1.23%
Apr-21	2021	950	959	974	940	19.26M	-1.01%
May-21	2021	872	882	887	862	17.71M	-0.55%
Jun-21	2021	820	810	835	790	39.95M	-2.38%
Jul-21	2021	785	765	815	755	48.18M	3.97%
Sep-21	2021	820	805	830	800	42.17M	0.00%
Oct-21	2021	930	930	955	925	40.96M	0.00%
Dec-21	2021	865	850	865	845	10.36M	1.76%
Jan-22	2021	751	775	785	746	78.17M	-3.13%
Feb-22	2021	906	872	930	862	103.54M	1.63%
Mar-22	2021	969	979	993	950	16.65M	-0.99%
Apr-22	2021	945	959	959	930	14.36M	-0.51%
Jun-22	2021	850	840	860	825	38.35M	3.66%
Jul-22	2021	820	795	840	795	68.32M	4.46%
Sep-22	2021	850	820	860	815	52.46M	3.66%
Oct-22	2021	940	930	960	910	53.15M	1.08%
Nov-22	2021	955	985	985	945	21.73M	-2.05%
Dec-22	2021	850	870	870	845	11.51M	-1.73%
Feb-23	2021	843	916	916	843	89.94M	-6.95%
Mar-23	2021	945	969	979	935	22.81M	-2.50%
Apr-23	2021	954	945	959	940	9.19M	1.03%
Jun-23	2021	835	850	855	835	15.27M	-1.76%
Jul-23	2021	795	820	825	785	23.30M	-3.05%
Aug-23	2021	815	765	820	765	56.02M	7.24%
Sep-23	2021	815	830	835	805	105.18M	-4.12%
Nov-23	2021	935	955	960	930	18.76M	-2.09%
Dec-23	2021	850	850	855	835	10.99M	0.00%
Feb-24	2021	819	824	848	785	156.60M	-2.87%
Mar-24	2021	930	935	940	921	18.13M	-1.54%
May-24	2021	867	872	877	862	5.32M	-0.56%
Jun-24	2021	845	835	850	830	13.26M	1.20%
Aug-24	2021	795	820	825	790	18.94M	-2.45%
Sep-24	2021	815	815	825	810	26.20M	0.00%
Nov-24	2021	940	935	950	930	23.37M	0.53%
Dec-24	2021	850	850	850	835	9.92M	0.00%
Jan-25	2021	727	746	761	712	56.19M	-3.23%
Feb-25	2021	828	833	848	824	48.67M	1.18%
Mar-25	2021	930	930	935	887	33.91M	0.00%
May-25	2021	882	872	901	867	21.94M	1.68%
Jun-25	2021	825	845	850	820	9.39M	-2.37%
Aug-25	2021	795	800	815	790	17.65M	0.00%
Oct-25	2021	920	940	950	915	23.51M	-2.13%
Nov-25	2021	915	945	945	910	25.00M	-2.66%
Jan-26	2021	693	727	736	683	54.08M	-4.67%
Feb-26	2021	799	790	838	775	76.81M	-3.51%
Mar-26	2021	974	940	988	930	60.56M	4.69%
Apr-26	2021	964	964	988	945	45.81M	1.02%
Jul-26	2021	760	800	805	755	61.11M	-4.40%
Aug-26	2021	775	805	810	770	10.80M	-2.52%
Oct-26	2021	915	925	930	905	11.51M	-0.54%
Nov-26	2021	855	915	925	855	72.16M	-6.56%
Jan-27	2021	717	693	732	669	53.09M	3.50%
Apr-27	2021	984	964	993	959	58.87M	2.01%
May-27	2021	877	887	911	877	26.11M	-0.55%
Jul-27	2021	750	770	775	745	73.78M	-1.32%
Aug-27	2021	765	790	795	760	13.17M	-1.29%
Sep-27	2021	815	820	830	810	34.23M	0.00%
Oct-27	2021	905	915	935	905	17.04M	-1.09%
Dec-27	2021	850	855	860	850	10.95M	0.00%
Jan-28	2021	673	703	712	669	60.09M	-6.08%
Apr-28	2021	979	984	988	964	13.40M	-0.49%
May-28	2021	877	882	887	867	9.39M	0.00%
Jun-28	2021	790	825	830	785	19.78M	-4.24%
Jul-28	2021	740	750	755	735	19.46M	-1.33%
Sep-28	2021	810	815	820	805	24.53M	-0.61%
Oct-28	2021	910	915	925	900	22.41M	0.55%
Jan-29	2021	673	678	698	649	45.22M	0.00%
Mar-29	2021	959	984	993	954	28.96M	-1.49%
Apr-29	2021	954	940	969	935	19.81M	-2.48%
Jun-29	2021	795	780	810	765	24.03M	0.63%
Jul-29	2021	755	760	760	740	19.52M	2.03%
Sep-29	2021	825	810	835	800	55.38M	1.85%
Oct-29	2021	915	910	925	910	17.11M	0.55%
Nov-29	2021	880	850	890	835	61.70M	2.92%
