"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","18.810","18.724","18.724","18.724","0.79K","3.80%"
"Nov 03, 2019","18.122","18.110","18.133","18.090","-","-3.54%"
"Nov 01, 2019","18.787","18.701","18.701","18.701","0.94K","0.01%"
"Oct 31, 2019","18.785","18.699","18.699","18.699","0.80K","1.16%"
"Oct 30, 2019","18.570","18.484","18.484","18.484","1.21K","0.34%"
"Oct 29, 2019","18.507","18.447","18.447","18.447","0.16K","-0.24%"
"Oct 28, 2019","18.551","18.491","18.491","18.491","0.52K","2.88%"
"Oct 27, 2019","18.032","18.038","18.062","18.010","-","-3.02%"
"Oct 25, 2019","18.594","18.534","18.534","18.534","0.71K","0.68%"
"Oct 24, 2019","18.468","18.408","18.408","18.408","0.70K","1.26%"
"Oct 23, 2019","18.238","18.178","18.178","18.178","3.34K","0.49%"
"Oct 22, 2019","18.149","18.089","18.089","18.089","0.83K","-0.55%"
"Oct 21, 2019","18.249","18.189","18.189","18.189","0.32K","3.73%"
"Oct 20, 2019","17.593","17.570","17.605","17.565","-","-3.45%"
"Oct 18, 2019","18.222","18.162","18.162","18.162","0.17K","-0.19%"
"Oct 17, 2019","18.256","18.196","18.196","18.196","0.21K","1.06%"
"Oct 16, 2019","18.065","18.005","18.005","18.005","0.80K","0.25%"
"Oct 15, 2019","18.020","17.960","17.960","17.960","0.22K","-1.79%"
"Oct 14, 2019","18.348","18.288","18.288","18.288","0.11K","4.77%"
"Oct 13, 2019","17.512","17.535","17.595","17.497","-","-3.68%"
"Oct 11, 2019","18.181","18.121","18.121","18.121","0.37K","-0.29%"
"Oct 10, 2019","18.233","18.173","18.173","18.173","0.77K","-1.13%"
"Oct 09, 2019","18.442","18.382","18.382","18.382","0.52K","0.61%"
"Oct 08, 2019","18.331","18.271","18.271","18.271","0.46K","0.87%"
"Oct 07, 2019","18.173","18.113","18.113","18.113","0.17K","3.17%"
"Oct 06, 2019","17.615","17.598","17.688","17.580","-","-3.52%"
"Oct 04, 2019","18.258","18.198","18.198","18.198","0.39K","-0.26%"
"Oct 03, 2019","18.305","18.245","18.245","18.245","0.76K","-0.11%"
"Oct 02, 2019","18.325","18.264","18.264","18.264","0.79K","2.12%"
"Oct 01, 2019","17.944","17.883","17.883","17.883","1.23K","1.70%"
"Sep 30, 2019","17.644","17.600","17.600","17.600","0.00K","0.38%"
"Sep 29, 2019","17.578","17.595","17.657","17.555","-","-3.96%"
"Sep 27, 2019","18.302","18.130","18.130","18.125","0.00K","-1.41%"
"Sep 26, 2019","18.564","18.503","18.503","18.503","0.23K","-0.88%"
"Sep 25, 2019","18.728","18.667","18.667","18.667","0.41K","-2.87%"
"Sep 24, 2019","19.282","19.221","19.221","19.221","0.71K","-0.46%"
"Sep 23, 2019","19.371","19.310","19.310","19.310","0.59K","7.34%"
"Sep 22, 2019","18.047","18.052","18.058","18.012","-","-2.51%"
"Sep 20, 2019","18.512","18.451","18.451","18.451","0.23K","-0.19%"
"Sep 19, 2019","18.547","18.486","18.486","18.486","0.26K","-0.20%"
"Sep 18, 2019","18.584","18.523","18.523","18.523","0.05K","-1.20%"
"Sep 17, 2019","18.809","18.748","18.748","18.748","0.32K","0.59%"
"Sep 16, 2019","18.699","18.638","18.638","18.638","0.15K","4.91%"
"Sep 15, 2019","17.823","17.517","17.843","17.517","-","-2.22%"
"Sep 13, 2019","18.228","18.184","18.184","18.184","1.33K","-3.14%"
"Sep 12, 2019","18.818","18.774","18.774","18.774","0.78K","0.15%"
"Sep 11, 2019","18.790","18.746","18.746","18.746","0.80K","-0.04%"
"Sep 10, 2019","18.797","18.753","18.753","18.753","0.02K","0.13%"
"Sep 09, 2019","18.772","18.728","18.728","18.728","0.62K","2.76%"
"Sep 08, 2019","18.267","18.262","18.282","18.157","-","-2.44%"
"Sep 06, 2019","18.724","18.676","18.676","18.676","0.09K","-3.59%"
"Sep 05, 2019","19.422","19.368","19.368","19.368","0.27K","-3.62%"
"Sep 04, 2019","20.152","20.080","20.080","20.080","0.00K","1.60%"
"Sep 03, 2019","19.834","19.780","19.780","19.780","0.43K","7.26%"
"Sep 02, 2019","18.492","18.562","18.652","18.367","-","-0.40%"
"Sep 01, 2019","18.567","18.475","18.683","18.475","-","-1.92%"
"Aug 30, 2019","18.931","18.877","18.877","18.877","0.66K","0.15%"
"Aug 29, 2019","18.903","18.849","18.849","18.849","1.07K","-0.63%"
