"Date","Price","Open","High","Low","Change %"
"Dec 11, 2018","14.550","14.548","14.737","14.490","0.13%"
"Dec 10, 2018","14.531","14.639","14.644","14.443","-0.61%"
"Dec 07, 2018","14.620","14.476","14.649","14.393","1.00%"
"Dec 06, 2018","14.475","14.507","14.508","14.303","-0.22%"
"Dec 05, 2018","14.507","14.520","14.547","14.383","-0.08%"
"Dec 04, 2018","14.519","14.383","14.666","14.349","0.90%"
"Dec 03, 2018","14.390","14.270","14.584","14.210","1.52%"
"Nov 30, 2018","14.175","14.309","14.341","14.014","-0.93%"
"Nov 29, 2018","14.308","14.325","14.398","14.234","-0.11%"
"Nov 28, 2018","14.324","14.143","14.399","14.074","1.28%"
"Nov 27, 2018","14.143","14.229","14.310","14.054","-0.63%"
"Nov 26, 2018","14.232","14.322","14.441","14.184","-0.41%"
"Nov 23, 2018","14.290","14.531","14.554","14.200","-1.51%"
"Nov 22, 2018","14.509","14.523","14.571","14.429","0.11%"
"Nov 21, 2018","14.493","14.320","14.556","14.243","1.24%"
"Nov 20, 2018","14.316","14.425","14.494","14.193","-0.76%"
"Nov 19, 2018","14.425","14.402","14.444","14.303","0.08%"
"Nov 16, 2018","14.413","14.289","14.425","14.193","0.87%"
"Nov 15, 2018","14.289","14.135","14.353","14.053","1.09%"
"Nov 14, 2018","14.135","13.983","14.199","13.853","0.95%"
"Nov 13, 2018","14.002","13.995","14.129","13.913","0.09%"
"Nov 12, 2018","13.990","14.169","14.237","13.990","-1.19%"
"Nov 09, 2018","14.159","14.432","14.443","14.063","-1.88%"
"Nov 08, 2018","14.430","14.588","14.609","14.360","-0.96%"
"Nov 07, 2018","14.570","14.535","14.722","14.462","0.23%"
"Nov 06, 2018","14.536","14.646","14.716","14.444","-0.78%"
"Nov 05, 2018","14.650","14.769","14.786","14.580","-0.69%"
"Nov 02, 2018","14.752","14.765","14.950","14.639","-0.26%"
"Nov 01, 2018","14.790","14.285","14.870","14.270","3.74%"
"Oct 31, 2018","14.257","14.472","14.511","14.245","-1.44%"
"Oct 30, 2018","14.465","14.455","14.551","14.355","-0.07%"
"Oct 29, 2018","14.475","14.705","14.788","14.405","-1.09%"
"Oct 26, 2018","14.635","14.626","14.796","14.575","0.00%"
"Oct 25, 2018","14.635","14.698","14.803","14.575","-0.36%"
"Oct 24, 2018","14.688","14.793","14.849","14.645","-0.31%"
"Oct 23, 2018","14.733","14.547","14.813","14.476","0.67%"
"Oct 22, 2018","14.635","14.655","14.714","14.495","-0.03%"
"Oct 19, 2018","14.639","14.620","14.764","14.556","0.44%"
"Oct 18, 2018","14.575","14.607","14.681","14.435","-0.27%"
"Oct 17, 2018","14.614","14.646","14.730","14.554","-0.42%"
"Oct 16, 2018","14.675","14.730","14.880","14.602","-0.12%"
"Oct 15, 2018","14.693","14.615","14.821","14.605","0.66%"
"Oct 12, 2018","14.597","14.624","14.750","14.516","0.08%"
"Oct 11, 2018","14.585","14.341","14.646","14.245","1.97%"
"Oct 10, 2018","14.303","14.389","14.475","14.254","-0.64%"
"Oct 09, 2018","14.395","14.345","14.461","14.245","0.21%"
"Oct 08, 2018","14.365","14.655","14.684","14.245","-1.81%"
"Oct 05, 2018","14.630","14.630","14.756","14.500","0.27%"
"Oct 04, 2018","14.590","14.650","14.800","14.520","-0.27%"
"Oct 03, 2018","14.630","14.730","14.873","14.620","-0.37%"
"Oct 02, 2018","14.685","14.506","14.954","14.445","1.28%"
"Oct 01, 2018","14.500","14.689","14.723","14.369","-1.02%"
"Sep 28, 2018","14.650","14.280","14.768","14.240","2.88%"
"Sep 27, 2018","14.240","14.352","14.498","14.180","-0.66%"
"Sep 26, 2018","14.335","14.485","14.555","14.305","-0.86%"
"Sep 25, 2018","14.460","14.277","14.597","14.240","1.38%"
"Sep 24, 2018","14.263","14.309","14.427","14.179","-0.25%"
"Sep 21, 2018","14.299","14.343","14.479","14.179","-0.04%"
"Sep 20, 2018","14.305","14.262","14.387","14.175","0.41%"
"Sep 19, 2018","14.246","14.165","14.384","14.164","0.66%"
"Sep 18, 2018","14.152","14.182","14.264","14.071","-0.30%"
"Sep 17, 2018","14.195","14.075","14.293","14.045","0.87%"
"Sep 14, 2018","14.073","14.193","14.315","14.053","-0.87%"
"Sep 13, 2018","14.197","14.291","14.386","14.165","-0.39%"
"Sep 12, 2018","14.253","14.152","14.323","14.063","0.82%"
"Sep 11, 2018","14.137","14.189","14.277","13.948","-0.34%"
"Sep 10, 2018","14.185","14.182","14.275","14.065","0.30%"
"Sep 07, 2018","14.143","14.171","14.298","14.093","-0.11%"
"Sep 06, 2018","14.158","14.205","14.341","14.108","-0.19%"
"Sep 05, 2018","14.185","14.110","14.257","14.075","0.39%"
"Sep 04, 2018","14.130","14.534","14.562","14.020","-2.62%"
"Sep 03, 2018","14.510","14.538","14.598","14.420","-0.10%"
"Aug 31, 2018","14.525","14.560","14.737","14.465","-0.30%"
"Aug 30, 2018","14.568","14.815","14.844","14.504","-1.31%"
"Aug 29, 2018","14.762","14.720","14.831","14.671","0.37%"
"Aug 28, 2018","14.707","14.915","15.041","14.674","-1.30%"
"Aug 27, 2018","14.900","14.886","14.963","14.755","0.57%"
"Aug 24, 2018","14.815","14.490","14.892","14.475","2.19%"
"Aug 23, 2018","14.498","14.766","14.796","14.440","-1.81%"
"Aug 22, 2018","14.765","14.759","14.914","14.686","-0.13%"
"Aug 21, 2018","14.784","14.761","14.882","14.709","0.18%"
"Aug 20, 2018","14.757","14.784","14.889","14.645","-0.29%"
"Aug 17, 2018","14.800","14.655","14.860","14.590","0.99%"
"Aug 16, 2018","14.655","14.465","14.877","14.345","1.40%"
"Aug 15, 2018","14.453","15.069","15.109","14.353","-3.55%"
"Aug 14, 2018","14.985","14.991","15.134","14.985","-0.07%"
"Aug 13, 2018","14.996","15.335","15.383","14.985","-2.05%"
"Aug 10, 2018","15.310","15.453","15.485","15.278","-0.96%"
"Aug 09, 2018","15.458","15.431","15.555","15.366","0.27%"
"Aug 08, 2018","15.417","15.361","15.497","15.273","0.27%"
"Aug 07, 2018","15.376","15.308","15.535","15.298","0.43%"
"Aug 06, 2018","15.310","15.471","15.538","15.280","-0.71%"
"Aug 03, 2018","15.420","15.341","15.593","15.250","0.55%"
"Aug 02, 2018","15.335","15.395","15.509","15.274","-0.38%"
"Aug 01, 2018","15.393","15.562","15.582","15.377","-0.94%"
"Jul 31, 2018","15.539","15.505","15.634","15.345","0.17%"
"Jul 30, 2018","15.512","15.481","15.577","15.381","0.05%"
"Jul 27, 2018","15.504","15.414","15.585","15.338","0.69%"
"Jul 26, 2018","15.397","15.572","15.696","15.370","-1.29%"
"Jul 25, 2018","15.599","15.483","15.672","15.442","0.76%"
"Jul 24, 2018","15.481","15.408","15.634","15.340","0.55%"
"Jul 23, 2018","15.397","15.509","15.588","15.339","-0.77%"
"Jul 20, 2018","15.517","15.342","15.585","15.255","1.37%"
"Jul 19, 2018","15.307","15.575","15.616","15.175","-1.66%"
"Jul 18, 2018","15.565","15.583","15.645","15.415","-0.19%"
"Jul 17, 2018","15.594","15.806","15.909","15.556","-1.24%"
"Jul 16, 2018","15.790","15.840","15.926","15.760","-0.18%"
"Jul 13, 2018","15.819","15.944","16.026","15.709","-0.79%"
"Jul 12, 2018","15.945","15.817","16.039","15.765","0.96%"
"Jul 11, 2018","15.794","16.077","16.107","15.780","-1.78%"
"Jul 10, 2018","16.081","16.114","16.197","15.905","-0.22%"
"Jul 09, 2018","16.116","16.049","16.259","16.044","0.49%"
"Jul 06, 2018","16.038","16.018","16.114","15.938","0.11%"
"Jul 05, 2018","16.020","16.090","16.138","15.920","-0.40%"
"Jul 04, 2018","16.084","16.055","16.188","15.979","0.23%"
"Jul 03, 2018","16.047","15.839","16.072","15.759","1.21%"
"Jul 02, 2018","15.855","16.115","16.152","15.755","-1.64%"
"Jun 29, 2018","16.119","15.995","16.199","15.959","0.74%"
"Jun 28, 2018","16.001","16.077","16.176","15.925","-0.30%"
"Jun 27, 2018","16.049","16.248","16.306","15.944","-1.51%"
"Jun 26, 2018","16.295","16.349","16.403","16.145","-0.24%"
"Jun 25, 2018","16.335","16.511","16.516","16.291","-0.86%"
"Jun 22, 2018","16.477","16.349","16.530","16.303","0.74%"
"Jun 21, 2018","16.356","16.314","16.410","16.210","0.38%"
"Jun 20, 2018","16.294","16.304","16.398","16.240","-0.16%"
"Jun 19, 2018","16.320","16.484","16.593","16.256","-0.64%"
"Jun 18, 2018","16.425","16.535","16.650","16.415","-0.80%"
"Jun 15, 2018","16.558","17.186","17.299","16.465","-3.60%"
"Jun 14, 2018","17.177","17.059","17.361","16.935","0.80%"
"Jun 13, 2018","17.041","16.871","17.153","16.801","1.09%"
"Jun 12, 2018","16.858","16.897","16.955","16.713","-0.43%"
"Jun 11, 2018","16.931","16.785","16.993","16.754","0.89%"
"Jun 08, 2018","16.781","16.730","16.876","16.625","0.45%"
"Jun 07, 2018","16.706","16.685","16.944","16.644","0.10%"
"Jun 06, 2018","16.689","16.513","16.783","16.508","1.15%"
"Jun 05, 2018","16.499","16.402","16.573","16.368","0.56%"
"Jun 04, 2018","16.407","16.423","16.588","16.373","0.04%"
"Jun 01, 2018","16.400","16.448","16.551","16.348","0.15%"
"May 31, 2018","16.375","16.507","16.620","16.375","-0.84%"
"May 30, 2018","16.514","16.387","16.558","16.284","0.55%"
"May 29, 2018","16.423","16.458","16.544","16.319","-0.32%"
"May 28, 2018","16.476","16.494","16.512","16.413","-0.19%"
"May 25, 2018","16.508","16.668","16.745","16.488","-0.93%"
"May 24, 2018","16.663","16.474","16.729","16.427","1.33%"
"May 23, 2018","16.445","16.543","16.608","16.335","-0.66%"
"May 22, 2018","16.554","16.520","16.706","16.441","0.21%"
"May 21, 2018","16.519","16.429","16.560","16.289","0.39%"
"May 18, 2018","16.455","16.463","16.504","16.375","0.09%"
"May 17, 2018","16.441","16.360","16.502","16.323","0.32%"
"May 16, 2018","16.388","16.277","16.464","16.210","0.70%"
"May 15, 2018","16.274","16.542","16.595","16.222","-1.55%"
"May 14, 2018","16.530","16.690","16.766","16.510","-0.82%"
"May 11, 2018","16.667","16.729","16.882","16.662","-0.29%"
"May 10, 2018","16.715","16.526","16.799","16.485","1.13%"
"May 09, 2018","16.529","16.509","16.669","16.378","0.30%"
"May 08, 2018","16.479","16.485","16.568","16.345","-0.05%"
"May 07, 2018","16.488","16.558","16.614","16.427","-0.18%"
"May 04, 2018","16.517","16.448","16.561","16.383","0.39%"
"May 03, 2018","16.453","16.404","16.632","16.384","0.51%"
"May 02, 2018","16.370","16.153","16.545","16.153","1.33%"
"May 01, 2018","16.155","16.347","16.381","16.079","-1.15%"
"Apr 30, 2018","16.343","16.535","16.578","16.215","-1.14%"
"Apr 27, 2018","16.532","16.529","16.604","16.456","0.05%"
"Apr 26, 2018","16.523","16.589","16.666","16.458","-0.13%"
"Apr 25, 2018","16.545","16.725","16.761","16.515","-1.14%"
"Apr 24, 2018","16.735","16.638","16.789","16.585","1.09%"
"Apr 23, 2018","16.555","17.135","17.144","16.555","-3.41%"
"Apr 20, 2018","17.140","17.241","17.285","17.050","-0.65%"
"Apr 19, 2018","17.253","17.215","17.398","17.134","0.33%"
"Apr 18, 2018","17.196","16.783","17.306","16.735","2.49%"
"Apr 17, 2018","16.779","16.672","16.836","16.591","0.81%"
"Apr 16, 2018","16.645","16.663","16.817","16.573","-0.11%"
"Apr 13, 2018","16.663","16.470","16.733","16.470","1.26%"
"Apr 12, 2018","16.455","16.701","16.717","16.449","-1.21%"
"Apr 11, 2018","16.657","16.578","16.895","16.538","0.53%"
"Apr 10, 2018","16.570","16.487","16.669","16.415","0.46%"
"Apr 09, 2018","16.494","16.453","16.602","16.346","0.65%"
"Apr 06, 2018","16.387","16.410","16.534","16.290","-0.05%"
