"Date","Close","Open","High","Low","Volume","Change %"
"2019-Jun-14","62.01","61.25","62.57","60.74","262.31K","1.14%"
"2019-Jun-13","61.31","59.94","62.64","59.78","435.42K","2.23%"
"2019-Jun-12","59.97","61.79","61.85","59.57","343.21K","-3.72%"
"2019-Jun-11","62.29","62.30","62.87","62.01","302.74K","0.00%"
"2019-Jun-10","62.29","63.58","64.10","62.05","278.49K","-1.58%"
"2019-Jun-07","63.29","62.40","63.59","61.77","307.96K","2.63%"
"2019-Jun-06","61.67","60.40","62.43","60.22","343.64K","1.72%"
"2019-Jun-05","60.63","61.58","62.27","59.45","428.01K","-2.16%"
"2019-Jun-04","61.97","61.00","62.12","60.21","370.27K","1.13%"
"2019-Jun-03","61.28","61.64","62.84","60.55","386.56K","-4.98%"
"2019-May-31","64.49","66.24","66.28","64.37","21.75K","-3.56%"
"2019-May-30","66.87","69.68","69.96","66.31","105.27K","-3.71%"
"2019-May-29","69.45","70.10","70.10","68.08","148.48K","-0.94%"
"2019-May-28","70.11","69.99","70.59","69.58","238.88K","0.00%"
"2019-May-27","70.11","69.15","70.23","68.53","72.18K","2.07%"
"2019-May-24","68.69","67.99","69.30","67.33","292.09K","1.37%"
"2019-May-23","67.76","70.86","70.97","67.02","434.54K","-4.55%"
"2019-May-22","70.99","71.91","72.04","70.42","371.52K","-1.65%"
"2019-May-21","72.18","72.15","72.52","71.63","303.74K","0.29%"
"2019-May-20","71.97","72.50","73.40","71.60","301.98K","-0.33%"
"2019-May-17","72.21","72.82","73.23","71.79","255.53K","-0.56%"
"2019-May-16","72.62","72.05","73.36","71.82","326.44K","1.18%"
"2019-May-15","71.77","70.90","72.25","70.42","272.44K","0.74%"
"2019-May-14","71.24","70.02","71.65","69.93","299.77K","1.44%"
"2019-May-13","70.23","70.83","72.58","69.72","373.47K","-0.55%"
"2019-May-10","70.62","70.45","71.23","70.18","300.46K","0.33%"
"2019-May-09","70.39","70.23","70.65","69.40","328.74K","0.03%"
"2019-May-08","70.37","69.88","70.70","69.33","295.44K","0.70%"
"2019-May-07","69.88","71.15","71.33","69.38","332.07K","-1.91%"
"2019-May-06","71.24","70.59","71.79","68.79","227.02K","0.55%"
"2019-May-03","70.85","70.48","71.54","69.95","249.81K","0.14%"
"2019-May-02","70.75","72.00","72.22","69.68","346.63K","-1.98%"
"2019-May-01","72.18","71.73","72.36","71.30","230.80K","-0.85%"
"2019-Apr-30","72.80","71.94","73.27","71.73","25.34K","1.05%"
"2019-Apr-29","72.04","71.56","72.50","71.06","147.41K","-0.15%"
"2019-Apr-26","72.15","74.20","74.42","71.30","222.89K","-2.96%"
"2019-Apr-25","74.35","74.46","75.60","74.00","309.21K","-0.30%"
"2019-Apr-24","74.57","74.27","74.73","74.02","276.67K","0.08%"
"2019-Apr-23","74.51","74.38","74.73","73.99","308.99K","0.63%"
"2019-Apr-22","74.04","71.93","74.52","71.86","305.17K","2.88%"
"2019-Apr-18","71.97","71.63","72.04","71.20","259.04K","0.49%"
"2019-Apr-17","71.62","71.83","72.27","71.45","276.61K","-0.14%"
"2019-Apr-16","71.72","71.21","71.95","70.74","273.90K","0.76%"
"2019-Apr-15","71.18","71.55","71.60","70.78","219.15K","-0.52%"
