"Date","Close","Open","High","Low","Change %"
"2021-Apr-20","1777.25","1770.30","1780.77","1763.18","0.45%"
"2021-Apr-19","1769.31","1779.50","1790.54","1765.98","-0.39%"
"2021-Apr-16","1776.31","1763.84","1784.07","1759.79","0.74%"
"2021-Apr-15","1763.21","1737.10","1769.91","1734.10","1.57%"
"2021-Apr-14","1736.00","1744.30","1749.58","1732.13","-0.45%"
"2021-Apr-13","1743.83","1732.59","1749.23","1723.27","0.65%"
"2021-Apr-12","1732.51","1743.80","1745.36","1727.18","-0.61%"
"2021-Apr-09","1743.10","1756.54","1757.47","1731.09","-0.73%"
"2021-Apr-08","1755.94","1737.84","1759.13","1732.99","1.07%"
"2021-Apr-07","1737.28","1742.96","1744.57","1730.13","-0.36%"
"2021-Apr-06","1743.57","1728.49","1745.68","1726.82","0.88%"
"2021-Apr-05","1728.44","1728.74","1733.75","1721.22","-0.02%"
"2021-Apr-02","1728.84","1730.47","1732.55","1728.67","-0.08%"
"2021-Apr-01","1730.18","1708.09","1730.80","1705.42","1.36%"
"2021-Mar-31","1707.01","1685.59","1715.28","1677.93","1.32%"
"2021-Mar-30","1684.80","1712.55","1714.74","1678.85","-1.59%"
"2021-Mar-29","1711.99","1732.15","1733.34","1705.58","-1.15%"
"2021-Mar-26","1731.97","1727.30","1737.01","1721.23","0.30%"
"2021-Mar-25","1726.82","1735.65","1745.95","1721.84","-0.42%"
"2021-Mar-24","1734.19","1727.80","1738.56","1723.85","0.42%"
"2021-Mar-23","1726.94","1739.05","1742.85","1724.42","-0.68%"
"2021-Mar-22","1738.69","1745.74","1747.18","1727.40","-0.35%"
"2021-Mar-19","1744.74","1735.90","1746.88","1728.04","0.48%"
"2021-Mar-18","1736.41","1745.09","1755.59","1719.05","-0.46%"
"2021-Mar-17","1744.44","1730.61","1751.81","1724.14","0.78%"
"2021-Mar-16","1730.94","1730.57","1741.40","1725.80","-0.05%"
"2021-Mar-15","1731.84","1727.74","1734.99","1721.31","0.31%"
"2021-Mar-12","1726.41","1721.59","1728.42","1698.85","0.29%"
"2021-Mar-11","1721.41","1726.55","1739.99","1719.38","-0.27%"
"2021-Mar-10","1726.05","1715.94","1726.76","1707.99","0.62%"
"2021-Mar-09","1715.36","1682.55","1720.83","1679.80","2.03%"
"2021-Mar-08","1681.24","1702.80","1714.45","1676.70","-1.15%"
"2021-Mar-05","1700.86","1698.59","1707.76","1687.12","0.22%"
"2021-Mar-04","1697.19","1711.84","1723.34","1690.64","-0.80%"
"2021-Mar-03","1710.95","1738.59","1740.85","1701.94","-1.56%"
"2021-Mar-02","1738.09","1724.10","1738.89","1707.18","0.83%"
"2021-Mar-01","1723.84","1733.40","1760.02","1719.52","-0.56%"
"2021-Feb-26","1733.49","1770.49","1776.10","1717.26","-2.06%"
